timestamp,status_code,elapsed_ms,success,error_message
2026-06-10T17:12:42.657280,200,176.03,True,
2026-06-10T17:12:42.663161,200,185.07,True,
2026-06-10T17:12:42.666593,200,184.28,True,
2026-06-10T17:12:42.738143,200,259.69,True,
2026-06-10T17:12:42.746085,200,266.85,True,
2026-06-10T17:12:42.773509,200,288.69,True,
2026-06-10T17:12:42.830446,200,346.42,True,
2026-06-10T17:12:42.830109,200,344.18,True,
2026-06-10T17:12:42.897091,200,408.01,True,
2026-06-10T17:12:42.902112,200,415.01,True,
2026-06-10T17:12:42.941465,200,284.01,True,
2026-06-10T17:12:42.976136,200,309.37,True,
2026-06-10T17:12:43.007095,200,343.74,True,
2026-06-10T17:12:43.038897,200,299.81,True,
2026-06-10T17:12:43.068088,200,321.86,True,
2026-06-10T17:12:43.180014,200,406.38,True,
2026-06-10T17:12:43.182094,200,351.51,True,
2026-06-10T17:12:43.266140,200,434.36,True,
2026-06-10T17:12:43.299561,200,397.31,True,
2026-06-10T17:12:43.334116,200,436.88,True,
2026-06-10T17:12:43.368412,200,426.85,True,
2026-06-10T17:12:43.403083,200,426.76,True,
2026-06-10T17:12:43.435346,200,394.81,True,
2026-06-10T17:12:43.493103,200,485.84,True,
2026-06-10T17:12:43.495061,200,426.83,True,
2026-06-10T17:12:43.519083,200,338.57,True,
2026-06-10T17:12:43.547123,200,364.85,True,
2026-06-10T17:12:43.575084,200,308.76,True,
2026-06-10T17:12:43.602038,200,302.33,True,
2026-06-10T17:12:43.626093,200,291.83,True,
2026-06-10T17:12:43.686096,200,317.55,True,
2026-06-10T17:12:43.686657,200,283.42,True,
2026-06-10T17:12:43.720282,200,284.81,True,
2026-06-10T17:12:43.755082,200,261.81,True,
2026-06-10T17:12:43.792094,200,296.88,True,
2026-06-10T17:12:43.825107,200,305.88,True,
2026-06-10T17:12:43.858897,200,311.62,True,
2026-06-10T17:12:43.890097,200,314.87,True,
2026-06-10T17:12:43.956845,200,330.59,True,
2026-06-10T17:12:43.957134,200,354.81,True,
2026-06-10T17:12:44.029005,200,342.73,True,
2026-06-10T17:12:44.029308,200,341.54,True,
2026-06-10T17:12:44.057845,200,337.46,True,
2026-06-10T17:12:44.123080,200,367.83,True,
2026-06-10T17:12:44.125681,200,333.49,True,
2026-06-10T17:12:44.191933,200,366.6,True,
2026-06-10T17:12:44.191591,200,332.53,True,
2026-06-10T17:12:44.253659,200,296.31,True,
2026-06-10T17:12:44.255564,200,365.32,True,
2026-06-10T17:12:44.310189,200,352.97,True,
2026-06-10T17:12:44.311649,200,282.23,True,
2026-06-10T17:12:44.343394,200,313.24,True,
2026-06-10T17:12:44.380184,200,322.23,True,
2026-06-10T17:12:44.412105,200,288.88,True,
2026-06-10T17:12:44.441093,200,314.38,True,
2026-06-10T17:12:44.468975,200,276.93,True,
2026-06-10T17:12:44.497099,200,301.3,True,
2026-06-10T17:12:44.525540,200,271.67,True,
2026-06-10T17:12:44.558932,200,303.21,True,
2026-06-10T17:12:44.588681,200,276.91,True,
2026-06-10T17:12:44.620037,200,309.73,True,
2026-06-10T17:12:44.677288,200,333.63,True,
2026-06-10T17:12:44.677817,200,297.45,True,
2026-06-10T17:12:44.738148,200,296.91,True,
2026-06-10T17:12:44.738700,200,326.43,True,
2026-06-10T17:12:44.764047,200,294.93,True,
2026-06-10T17:12:44.798089,200,300.84,True,
2026-06-10T17:12:44.829009,200,303.29,True,
2026-06-10T17:12:44.859948,200,300.87,True,
2026-06-10T17:12:44.919035,200,329.58,True,
2026-06-10T17:12:44.920268,200,298.95,True,
2026-06-10T17:12:44.950049,200,272.13,True,
2026-06-10T17:12:44.978598,200,301.15,True,
2026-06-10T17:12:45.044085,200,305.27,True,
2026-06-10T17:12:45.047300,200,308.99,True,
2026-06-10T17:12:45.072970,200,308.75,True,
2026-06-10T17:12:45.104086,200,305.37,True,
2026-06-10T17:12:45.133517,200,304.37,True,
2026-06-10T17:12:45.165161,200,305.08,True,
2026-06-10T17:12:45.194080,200,274.9,True,
2026-06-10T17:12:45.223135,200,302.71,True,
2026-06-10T17:12:45.293197,200,314.47,True,
2026-06-10T17:12:45.295121,200,344.93,True,
2026-06-10T17:12:45.341288,200,293.86,True,
2026-06-10T17:12:45.433307,200,360.22,True,
2026-06-10T17:12:45.435100,200,390.87,True,
2026-06-10T17:12:45.488079,200,383.85,True,
2026-06-10T17:12:45.536242,200,402.58,True,
2026-06-10T17:12:45.578559,200,413.25,True,
2026-06-10T17:12:45.622763,200,428.55,True,
2026-06-10T17:12:45.659581,200,436.27,True,
2026-06-10T17:12:45.711208,200,417.79,True,
2026-06-10T17:12:45.742090,200,446.83,True,
2026-06-10T17:12:45.773600,200,431.6,True,
2026-06-10T17:12:45.860213,200,426.78,True,
2026-06-10T17:12:45.861053,200,425.76,True,
2026-06-10T17:12:45.939188,200,450.96,True,
2026-06-10T17:12:45.940109,200,403.73,True,
2026-06-10T17:12:46.008183,200,429.49,True,
2026-06-10T17:12:46.007870,200,384.31,True,
